"ID","latitude","longitude","cluster"
67,41.8771962,-87.6289936,3
68,41.8771962,-87.6289936,3
69,41.8771962,-87.6289936,3
70,41.8771962,-87.6289936,5
71,41.93212891,-87.72114563,5
72,41.85194397,-87.71477509,5
73,41.77076519,-87.56994613,5
74,41.77076519,-87.56994613,5
75,41.77076519,-87.56994613,3
76,41.753139,-87.636442,5
77,41.753139,-87.636442,3
78,41.753139,-87.636442,5
79,41.753139,-87.636442,5
80,41.802414,-87.6122854,5
81,41.7824173,-87.60688019,5
82,41.7824173,-87.60688019,3
83,41.7847242,-87.6141379,3
84,41.78470993,-87.6140976,2
85,41.78470993,-87.6140976,2
86,41.76470184,-87.62375641,2
87,41.76470184,-87.62375641,2
88,41.76470184,-87.62375641,2
89,41.76470184,-87.62375641,2
90,41.76470184,-87.62375641,2
91,41.76470184,-87.62375641,4
92,41.76589966,-87.61319733,4
93,41.76589966,-87.61319733,4
94,41.76589966,-87.61319733,4
95,41.76589966,-87.61319733,4
96,41.95461184,-87.64918529,4
97,41.95461184,-87.64918529,4
98,41.95461184,-87.64918529,4
99,41.958601,-87.684599,4
100,41.7526129,-87.647367,4
101,41.7526129,-87.647367,4
102,41.7526129,-87.647367,4
103,41.7648393,-87.5883628,4
104,41.7648393,-87.5883628,4
105,41.7648393,-87.5883628,4
106,41.7648393,-87.5883628,4
107,41.7648393,-87.5883628,4
108,41.7648393,-87.5883628,4
109,41.750316,-87.60971,4
110,41.75414276,-87.6651001,4
111,41.75414276,-87.6651001,4
112,41.75414276,-87.6651001,4
113,41.93655387,-87.64225312,4
114,41.93655387,-87.64225312,4
115,41.93655387,-87.64225312,4
116,41.8909167,-87.6158055,4
117,41.8909167,-87.6158055,4
118,41.8909167,-87.6158055,4
119,41.8909167,-87.6158055,4
120,41.8909167,-87.6158055,4
121,41.8909167,-87.6158055,4
122,41.8909167,-87.6158055,4
123,41.8909167,-87.6158055,4
124,41.8909167,-87.6158055,4
125,41.8909167,-87.6158055,4
126,41.8909167,-87.6158055,4
127,41.8909167,-87.6158055,4
128,41.8909167,-87.6158055,4
129,41.8909167,-87.6158055,4
130,41.8909167,-87.6158055,2
131,41.8909167,-87.6158055,2
132,41.8909167,-87.6158055,2
133,41.8909167,-87.6158055,2
134,41.8909167,-87.6158055,6
135,41.8909167,-87.6158055,6
136,41.8909167,-87.6158055,6
137,41.89106628,-87.61543773,6
138,41.89106628,-87.61543773,6
139,41.89106628,-87.61543773,6
140,41.89106628,-87.61543773,6
141,41.89106628,-87.61543773,6
142,41.89106628,-87.61543773,6
143,41.8909167,-87.6158055,6
144,41.8909167,-87.6158055,6
145,41.8909167,-87.6158055,2
146,41.8909167,-87.6158055,2
147,41.8909167,-87.6158055,2
148,41.8909167,-87.6158055,2
149,41.8909167,-87.6158055,2
150,41.8909167,-87.6158055,2
151,41.8909167,-87.6158055,2
152,41.77255489,-87.57273428,2
153,41.77255489,-87.57273428,2
154,41.77255489,-87.57273428,2
155,41.994993,-87.6573581,2
